AmountFragments;NumFiles
0;1801
1;1391
2;57
3;1
4;3
5;1
6;5
7;2
8;2
11;2
12;5
14;1
20;1
22;2
130;1
0,28;162
0,6;69
0,08;401
0,5;609
0,24;208
0,36;92
0,04;891
0,42;87
0,06;1041
0,78;2
0,66;852
0,02;977
0,2;177
0,32;265
0,1;339
0,62;12
0,12;318
0,3;37
0,44;13
0,4;360
0,26;50
1,02;3
0,18;159
0,7;9
0,8;31
0,74;47
0,94;1
0,16;176
0,22;111
0,14;191
0,56;20
0,54;8
0,34;7
0,82;10
0,52;2
0,84;10
0,58;1
0,9;3
0,96;1
1,5;2
0,38;2
0,46;1
0,86;3
0,92;1
0,68;4


