AverageFragments;NumFiles
2;214.58620689655172
3;75.72413793103448
4;33.96551724137931
5;18.103448275862068
6;9.586206896551724
7;5.241379310344827
8;3.5172413793103448
9;2.7241379310344827
10;1.8620689655172413
11;1.6896551724137931
12;1.7586206896551724
13;1.3103448275862069
14;0.896551724137931
15;0.8275862068965517
16;0.7241379310344828
17;0.8620689655172413
18;0.3103448275862069
19;0.27586206896551724
20;0.27586206896551724
21;0.20689655172413793
22;0.3448275862068966
23;0.10344827586206896
24;0.13793103448275862
25;0.13793103448275862
26;0.2413793103448276
27;0.2413793103448276
28;0.06896551724137931
29;0.13793103448275862
30;0.20689655172413793
31;0.2413793103448276
32;0.1724137931034483
33;0.06896551724137931
34;0.10344827586206896
35;0.1724137931034483
37;0.1724137931034483
38;0.06896551724137931
39;0.10344827586206896
40;0.10344827586206896
41;0.1724137931034483
42;0.06896551724137931
43;0.13793103448275862
44;0.034482758620689655
45;0.034482758620689655
46;0.034482758620689655
47;0.034482758620689655
48;0.10344827586206896
49;0.034482758620689655
51;0.06896551724137931
53;0.034482758620689655
55;0.06896551724137931
59;0.10344827586206896
60;0.034482758620689655
61;0.034482758620689655
62;0.034482758620689655
63;0.06896551724137931
64;0.034482758620689655
66;0.10344827586206896
67;0.06896551724137931
68;0.06896551724137931
69;0.10344827586206896
70;0.034482758620689655
73;0.034482758620689655
75;0.034482758620689655
80;0.034482758620689655
81;0.034482758620689655
83;0.034482758620689655
87;0.034482758620689655
88;0.06896551724137931
90;0.06896551724137931
95;0.034482758620689655
96;0.034482758620689655
97;0.034482758620689655
98;0.034482758620689655
100;0.034482758620689655
103;0.06896551724137931
105;0.034482758620689655
108;0.034482758620689655
116;0.034482758620689655
126;0.034482758620689655
127;0.034482758620689655
130;0.034482758620689655
134;0.034482758620689655
144;0.034482758620689655
146;0.034482758620689655
177;0.034482758620689655
189;0.034482758620689655
191;0.034482758620689655
193;0.034482758620689655
195;0.034482758620689655
196;0.034482758620689655
207;0.034482758620689655
229;0.034482758620689655
232;0.06896551724137931
234;0.034482758620689655
242;0.034482758620689655
255;0.034482758620689655
256;0.034482758620689655
281;0.034482758620689655
370;0.034482758620689655
423;0.034482758620689655
445;0.034482758620689655
539;0.034482758620689655
546;0.034482758620689655
578;0.034482758620689655
581;0.034482758620689655
583;0.034482758620689655
670;0.034482758620689655
762;0.034482758620689655
768;0.034482758620689655
1140;0.034482758620689655
3240;0.034482758620689655
7364;0.034482758620689655


